Workbook: UN_MigrantStockTotal_2019.xlsx,,,,,,,,
105,Dem. People's Republic of Korea,"34,103","35,143","36,183","40,097","44,010","48,458","49,393"
106,Japan,"1,075,317","1,362,371","1,686,444","2,011,555","2,134,151","2,232,189","2,498,891"
107,Mongolia,"6,718","7,424","8,206","11,477","16,062","19,886","21,128"
108,Republic of Korea,"43,247","123,886","244,224","486,065","919,987","1,143,087","1,163,655"
110,Brunei Darussalam,"73,200","84,748","96,296","98,441","100,587","102,733","110,641"
111,Cambodia,"38,375","92,230","146,085","114,031","81,977","73,963","78,649"
112,Indonesia,"465,612","378,960","292,307","289,568","305,416","338,124","353,135"
113,Lao People's Democratic Republic,"22,866","23,526","21,948","20,371","32,955","45,538","48,275"
114,Malaysia,"695,920","937,368","1,463,598","1,918,504","2,417,395","3,280,681","3,430,380"
115,Myanmar,"133,545","113,663","98,011","83,025","76,414","73,309","75,998"
116,Philippines,"154,071","207,345","318,095","257,468","208,599","211,862","218,530"
117,Singapore,"727,262","991,492","1,351,691","1,710,594","2,164,794","2,543,638","2,155,653"
118,Thailand,"528,693","809,720","1,257,821","2,163,447","3,224,131","3,486,526","3,635,085"
119,Timor-Leste,"8,954","9,743","10,602","11,286","11,540","8,520","8,417"
120,Viet Nam,"28,118","51,262","56,754","51,768","61,756","72,793","76,104"
123,Anguilla,"2,570","3,317","4,063","4,684","5,103","5,470","5,679"
124,Antigua and Barbuda,"12,029","17,550","23,071","24,741","26,412","28,083","29,207"
125,Aruba,"14,444","22,274","30,104","32,540","34,327","36,114","36,532"
126,Bahamas,"26,855","31,654","36,454","45,595","54,736","59,306","62,962"
127,Barbados,"24,024","26,224","28,424","30,624","32,825","34,475","34,807"
128,British Virgin Islands,"8,035","10,046","12,958","15,016","17,074","19,132","20,778"
129,"Bonaire, Sint Eustatius and Saba","38,410","42,258","46,105","62,205","11,445","13,002","15,484"
130,Cayman Islands,"9,315","12,666","19,176","20,679","24,057","26,177","28,985"
131,Cuba,"34,555","26,187","17,818","11,935","6,640","5,312","4,886"
132,Curaçao,..,..,..,..,"34,627","37,611","40,883"
133,Dominica,"2,519","3,121","3,723","4,744","8,110","8,093","8,264"
134,Dominican Republic,"291,151","323,381","355,611","376,001","393,720","549,289","567,648"
135,Grenada,"4,263","5,544","6,825","6,902","6,980","7,057","7,124"
136,Guadeloupe,"65,944","74,566","83,188","89,065","94,942","98,507","100,030"
137,Haiti,"19,084","18,129","17,222","16,360","17,178","18,036","18,756"
138,Jamaica,"20,475","22,713","24,952","24,314","23,677","23,167","23,468"
139,Martinique,"38,705","46,599","54,492","57,034","59,575","61,731","61,647"
140,Montserrat,"2,013","1,612","1,211","1,244","1,291","1,351","1,375"
141,Puerto Rico,"321,909","338,067","355,038","352,144","304,969","280,494","266,828"
142,Saint Kitts and Nevis,"3,210","4,248","5,871","6,682","7,245","7,443","7,587"
143,Saint Lucia,"5,305","7,155","9,871","9,842","9,051","8,673","8,383"
144,Saint Vincent and the Grenadines,"3,970","4,135","4,307","4,436","4,569","4,637","4,692"
145,Sint Maarten (Dutch part),..,..,..,..,"26,200","27,295","28,260"
146,Trinidad and Tobago,"50,666","45,994","41,753","44,812","48,226","50,021","59,249"
147,Turks and Caicos Islands,"5,062","7,039","9,015","13,115","17,216","22,719","24,534"
148,United States Virgin Islands,"51,970","54,241","56,611","56,647","56,684","56,721","56,745"
150,Belize,"30,404","33,446","36,488","41,424","46,360","54,674","59,998"
151,Costa Rica,"417,628","364,287","310,946","358,175","405,404","411,697","417,768"
152,El Salvador,"47,360","39,537","31,713","36,019","40,324","42,045","42,617"
153,Guatemala,"264,257","156,188","48,119","57,252","66,384","78,352","80,421"
154,Honduras,"270,423","149,442","28,461","27,875","27,288","38,317","38,933"
155,Mexico,"695,674","458,549","538,051","712,487","969,538","1,028,803","1,060,707"
156,Nicaragua,"41,421","26,619","30,389","34,918","37,333","40,262","42,172"
157,Panama,"62,744","70,848","83,410","117,563","157,309","184,710","185,072"
159,Argentina,"1,649,919","1,595,069","1,540,219","1,673,088","1,805,957","2,086,302","2,212,879"
160,Bolivia (Plurinational State of),"73,758","83,598","92,658","107,745","122,846","142,989","156,114"
161,Brazil,"798,517","741,557","684,596","638,582","592,568","716,568","807,006"
162,Chile,"107,501","142,417","177,332","276,360","375,388","639,724","939,992"
163,Colombia,"104,277","106,943","109,609","107,612","124,271","139,134","1,142,319"
164,Ecuador,"78,663","115,093","151,523","187,404","325,366","387,513","381,507"
165,Falkland Islands (Malvinas),855,868,"1,067","1,166","1,436","1,571","1,902"
166,French Guiana,"63,612","70,131","76,649","86,468","96,288","106,108","117,372"
167,Guyana,"4,095","6,352","8,610","10,868","13,126","15,384","15,699"
168,Paraguay,"195,884","186,570","176,608","168,243","160,299","156,462","160,519"
169,Peru,"56,688","56,732","66,300","77,877","104,706","154,774","782,169"
170,Suriname,"18,083","22,320","27,506","33,664","39,713","43,127","46,157"
171,Uruguay,"98,116","93,428","88,874","82,317","76,303","78,799","81,482"
172,Venezuela (Bolivarian Republic of),"1,025,009","1,019,996","1,013,738","1,076,474","1,347,347","1,404,448","1,375,690"
175,Australia,"3,955,213","4,153,330","4,386,250","4,878,030","5,882,980","6,729,730","7,549,270"
176,New Zealand,"518,047","588,617","678,813","839,952","947,443","1,039,736","1,068,739"
178,Fiji,"13,283","13,001","12,719","12,435","13,351","13,751","14,038"
179,New Caledonia,"37,673","43,662","49,651","55,405","61,158","68,881","72,537"
180,Papua New Guinea,"33,710","33,526","26,304","30,106","30,425","30,940","31,212"
181,Solomon Islands,"4,226","4,178","3,981","3,271","2,760","2,585","2,532"
182,Vanuatu,"2,308","2,461","2,626","2,800","2,991","3,187","3,245"
184,Guam,"69,755","71,912","74,070","74,743","75,416","76,089","79,846"
185,Kiribati,"2,162","2,223","2,283","2,487","2,868","2,919","3,022"
186,Marshall Islands,"1,158","1,480","1,891","2,417","3,089","3,284","3,296"
187,Micronesia (Fed. States of),"3,685","3,342","3,116","2,905","2,806","2,756","2,819"
188,Nauru,"2,815","2,605","2,394","2,253","1,183","1,890","2,114"
189,Northern Mariana Islands,"26,593","32,376","40,122","37,542","24,168","21,648","21,815"
190,Palau,"2,801","4,749","6,310","6,043","5,490","4,937","5,066"
192,American Samoa,"21,283","23,098","24,912","24,233","23,555","23,513","23,539"
193,Cook Islands,"2,587","2,686","2,785","3,277","3,769","3,477","3,491"
194,French Polynesia,"25,830","28,360","30,329","32,286","31,640","30,058","31,205"
195,Niue,461,480,498,522,589,588,588
196,Samoa,"3,357","4,694","5,998","5,746","5,122","4,252","4,035"
197,Tokelau,270,266,262,258,429,487,504
198,Tonga,"2,911","3,274","3,684","4,301","4,604","3,954","3,752"
199,Tuvalu,318,263,218,209,220,230,238
200,Wallis and Futuna Islands,"1,402","1,704","2,015","2,191","1,624","1,052","1,022"
204,Belarus,"1,248,977","1,186,282","1,123,586","1,106,982","1,090,378","1,082,905","1,069,395"
205,Bulgaria,"21,510","32,435","43,360","61,074","76,287","123,803","168,516"
206,Czechia,"110,394","165,592","220,789","322,540","398,493","416,454","512,705"
207,Hungary,"347,510","322,234","296,957","366,787","436,616","475,508","512,043"
